id,name,location,station_type,power_kw,price_per_kwh,service_fee,status,install_date,operator_name,contact_phone,total_sessions,total_energy_kwh,total_income,latitude,longitude,remark
96,交流慢充-0096号桩,西安邮电大学雁塔校区,交流慢充,12.0,1.25,0.60,0,2022-05-01,国家电网,029-9663-6435,174,939.60,1738.26,34.221401,108.955406,雁塔校区学生服务中心
97,直流快充-0097号桩,西安邮电大学东区,直流快充,115.0,1.02,0.42,0,2022-01-17,特来电,029-3612-1203,87,5102.55,7347.67,34.242901,108.930702,东区行政楼停车场
98,交流慢充-0098号桩,西安邮电大学西区,交流慢充,11.0,1.02,0.37,0,2023-01-01,校园能源管理中心,029-9498-0679,294,1681.68,2337.54,34.237602,108.931305,西区宿舍停车场
99,直流快充-0099号桩,西安邮电大学雁塔校区,直流快充,106.0,1.37,0.68,0,2022-07-19,星星充电,029-9913-4502,313,22892.82,46930.28,34.221302,108.959503,雁塔校区南门停车场
100,交流慢充-0100号桩,西安邮电大学东区,交流慢充,21.0,1.25,0.43,0,2023-09-04,特来电,029-9979-1108,275,3349.50,5627.16,34.237301,108.927299,东区A区停车场
101,双枪充电-0101号桩,西安邮电大学西区,双枪充电,131.0,1.42,0.64,0,2022-07-04,星星充电,029-5281-3750,369,24652.89,50784.95,34.240501,108.932800,西区宿舍停车场
102,双枪充电-0102号桩,西安邮电大学雁塔校区,双枪充电,121.0,1.22,0.38,0,2024-12-05,云快充,029-7659-7137,362,32851.50,52562.40,34.227802,108.957001,雁塔校区实验楼停车场
103,直流快充-0103号桩,西安邮电大学东区,直流快充,144.0,1.57,0.62,0,2024-02-12,特来电,029-2074-0682,234,18869.76,41324.77,34.241402,108.936005,东区行政楼停车场
104,交流慢充-0104号桩,西安邮电大学西区,交流慢充,11.0,1.49,0.64,0,2024-06-14,特来电,029-2401-4518,30,250.80,534.20,34.241600,108.924004,西区2号停车场
105,直流快充-0105号桩,西安邮电大学雁塔校区,直流快充,77.0,0.94,0.37,1,2023-09-15,特来电,029-2126-6139,306,16964.64,22223.68,34.221802,108.957100,雁塔校区实验楼停车场
106,交流慢充-0106号桩,西安邮电大学东区,交流慢充,22.0,1.50,0.39,0,2022-07-17,云快充,029-4613-9180,508,5140.96,9716.41,34.233803,108.931602,东区体育场停车场
107,双枪充电-0107号桩,西安邮电大学西区,双枪充电,234.0,1.37,0.63,1,2024-03-17,云快充,029-7189-5600,482,53010.36,106020.73,34.241501,108.931206,西区宿舍停车场
108,双枪充电-0108号桩,西安邮电大学雁塔校区,双枪充电,132.0,1.01,0.45,0,2024-08-15,星星充电,029-8015-1691,319,20632.92,30124.06,34.229103,108.956001,雁塔校区实验楼停车场
109,交流慢充-0109号桩,西安邮电大学东区,交流慢充,14.0,1.50,0.58,0,2024-11-13,云快充,029-2949-7490,73,449.68,935.33,34.239502,108.932701,东区体育场停车场
110,交流慢充-0110号桩,西安邮电大学西区,交流慢充,8.0,1.22,0.32,0,2023-07-16,校园能源管理中心,029-6872-0026,437,2097.60,3230.30,34.238403,108.926605,西区2号停车场
111,双枪充电-0111号桩,西安邮电大学雁塔校区,双枪充电,161.0,1.09,0.47,1,2024-07-16,特来电,029-2248-9337,288,30602.88,47740.49,34.221500,108.955704,雁塔校区学生服务中心
112,交流慢充-0112号桩,西安邮电大学东区,交流慢充,14.0,1.41,0.48,1,2021-01-20,云快充,029-1527-9570,366,4047.96,7650.64,34.234600,108.929405,东区图书馆停车场
113,直流快充-0113号桩,西安邮电大学西区,直流快充,67.0,1.35,0.46,1,2024-06-06,国家电网,029-2933-6076,358,7675.52,13892.69,34.242401,108.931404,西区2号停车场
114,双枪充电-0114号桩,西安邮电大学雁塔校区,双枪充电,160.0,1.51,0.31,0,2021-11-02,国家电网,029-0100-7578,500,60000.00,109199.99,34.220703,108.956505,雁塔校区地下停车场
115,双枪充电-0115号桩,西安邮电大学东区,双枪充电,153.0,1.22,0.38,0,2022-12-07,云快充,029-3397-5587,36,3800.52,6080.83,34.242203,108.933205,东区B区停车场
116,交流慢充-0116号桩,西安邮电大学西区,交流慢充,11.0,1.42,0.36,0,2025-07-11,国家电网,029-6792-8715,452,1740.20,3097.56,34.239002,108.926605,西区行政楼停车场
117,直流快充-0117号桩,西安邮电大学雁塔校区,直流快充,152.0,0.95,0.49,0,2025-05-27,云快充,029-0879-9320,233,11687.28,16829.68,34.221401,108.958206,雁塔校区北门停车场
118,交流慢充-0118号桩,西安邮电大学东区,交流慢充,19.0,1.39,0.30,0,2025-10-03,国家电网,029-0810-2285,32,200.64,339.08,34.240002,108.931702,东区图书馆停车场
119,直流快充-0119号桩,西安邮电大学西区,直流快充,80.0,1.27,0.45,0,2023-01-09,国家电网,029-7627-7200,254,11785.60,20271.23,34.235901,108.933006,西区实验楼停车场
120,直流快充-0120号桩,西安邮电大学雁塔校区,直流快充,166.0,1.03,0.30,0,2023-05-10,校园能源管理中心,029-5746-0535,536,60503.68,80469.89,34.221703,108.956406,雁塔校区学生服务中心
121,交流慢充-0121号桩,西安邮电大学东区,交流慢充,14.0,0.80,0.43,0,2024-12-19,云快充,029-1969-2726,291,1751.82,2154.74,34.240803,108.930801,东区B区停车场
122,双枪充电-0122号桩,西安邮电大学西区,双枪充电,149.0,1.04,0.44,0,2025-03-20,国家电网,029-4665-2050,220,20979.20,31049.21,34.237503,108.928902,西区2号停车场
123,双枪充电-0123号桩,西安邮电大学雁塔校区,双枪充电,144.0,0.92,0.43,2,2021-02-19,星星充电,029-2778-7872,127,10789.92,14566.39,34.221203,108.960899,雁塔校区南门停车场
124,直流快充-0124号桩,西安邮电大学东区,直流快充,173.0,1.36,0.40,0,2023-11-01,星星充电,029-2246-8357,163,21995.22,38711.59,34.233002,108.933502,东区A区停车场
125,直流快充-0125号桩,西安邮电大学西区,直流快充,150.0,1.37,0.68,0,2023-07-22,星星充电,029-2237-0950,203,18270.00,37453.50,34.234600,108.926102,西区宿舍停车场
126,双枪充电-0126号桩,西安邮电大学雁塔校区,双枪充电,231.0,1.25,0.65,0,2022-07-24,国家电网,029-0945-2856,165,16389.45,31139.96,34.227100,108.954102,雁塔校区学生服务中心
127,直流快充-0127号桩,西安邮电大学东区,直流快充,180.0,0.97,0.32,0,2023-07-20,校园能源管理中心,029-8611-3217,550,42570.00,54915.30,34.240303,108.928604,东区行政楼停车场
128,交流慢充-0128号桩,西安邮电大学西区,交流慢充,19.0,1.29,0.49,0,2025-02-14,星星充电,029-0995-6357,123,817.95,1455.95,34.238201,108.924904,西区2号停车场
129,直流快充-0129号桩,西安邮电大学雁塔校区,直流快充,64.0,1.23,0.61,0,2025-07-24,特来电,029-2402-2265,425,13328.00,24523.52,34.221600,108.963905,雁塔校区地下停车场
130,直流快充-0130号桩,西安邮电大学东区,直流快充,120.0,1.39,0.30,1,2023-08-15,校园能源管理中心,029-7011-4306,221,16707.60,28235.84,34.236401,108.936302,东区体育场停车场
131,交流慢充-0131号桩,西安邮电大学西区,交流慢充,22.0,0.95,0.44,0,2024-05-24,国家电网,029-8500-4165,107,1553.64,2159.56,34.237301,108.930603,西区行政楼停车场
132,双枪充电-0132号桩,西安邮电大学雁塔校区,双枪充电,153.0,0.99,0.49,0,2022-12-03,特来电,029-5849-2327,98,8696.52,12870.85,34.229000,108.958099,雁塔校区地下停车场
133,交流慢充-0133号桩,西安邮电大学东区,交流慢充,22.0,1.17,0.61,0,2024-07-14,国家电网,029-1265-1326,165,2069.10,3683.00,34.235104,108.930199,东区体育场停车场
134,交流慢充-0134号桩,西安邮电大学西区,交流慢充,8.0,0.97,0.42,0,2023-08-21,校园能源管理中心,029-7677-7917,555,2930.40,4073.26,34.235203,108.933601,西区行政楼停车场
135,双枪充电-0135号桩,西安邮电大学雁塔校区,双枪充电,177.0,1.00,0.32,1,2025-07-27,特来电,029-6671-3563,295,17230.95,22744.86,34.229202,108.957504,雁塔校区北门停车场
136,直流快充-0136号桩,西安邮电大学东区,直流快充,66.0,0.93,0.40,0,2023-03-19,星星充电,029-8744-3212,279,5524.20,7347.19,34.233501,108.935799,东区图书馆停车场
137,双枪充电-0137号桩,西安邮电大学西区,双枪充电,232.0,1.50,0.52,0,2024-11-22,特来电,029-1240-3637,112,12472.32,25194.09,34.243301,108.933701,西区实验楼停车场
138,双枪充电-0138号桩,西安邮电大学雁塔校区,双枪充电,184.0,1.43,0.37,0,2023-10-07,国家电网,029-5841-0523,87,10405.20,18729.36,34.228901,108.963905,雁塔校区北门停车场
139,直流快充-0139号桩,西安邮电大学东区,直流快充,152.0,0.98,0.51,1,2024-05-21,特来电,029-9268-0643,161,8565.20,12762.15,34.233101,108.929703,东区A区停车场
140,直流快充-0140号桩,西安邮电大学西区,直流快充,83.0,1.43,0.47,2,2021-11-26,星星充电,029-3537-6802,578,33102.06,62893.91,34.242401,108.933807,西区1号停车场
141,直流快充-0141号桩,西安邮电大学雁塔校区,直流快充,125.0,0.97,0.59,0,2024-11-03,星星充电,029-1129-3854,73,4836.25,7544.55,34.220802,108.959305,雁塔校区北门停车场
142,双枪充电-0142号桩,西安邮电大学东区,双枪充电,229.0,1.33,0.63,2,2022-07-24,国家电网,029-5246-0875,185,13980.45,27401.68,34.233501,108.931099,东区体育场停车场
143,交流慢充-0143号桩,西安邮电大学西区,交流慢充,17.0,1.37,0.45,0,2023-12-03,星星充电,029-0513-9950,505,4979.30,9062.33,34.238201,108.926201,西区行政楼停车场
